;References;Value;Footprint;Part Number;Quantity
1;C207, C208, C306, C309, C314, C318, C325, C328, C401, C510, C511, C512, C513, C516, C517, C518, C519, C532, C601, C602, C606, C607, C608, C609, C610, C611, C612, C613, C614, C615, C801, C805, C810, C901, C905, C906, C907, C908, C909, C910, C911, C912, C913, C914, C916, C917, C918, C919, C920, C921, C922, C923, C924, C925, C926, C927, C928, C929, C930, C931, C932, C933, C934, C935, C936, C937, C938, C939, C944, C1301, C1401, C1403, C1404, C1405, C1406, C1407, C1408, C1409, C1503, C1504, C1507, C1601, C1602, C1701, C1702, C1802, C1803, C1804, C1805, C1806, C1807, C1808, C1809, C1810, C1811, C1813, C1814, C1815, C1816, C1817, C1818, C2001, C2004, C2005, C2006, C2007, C2008, C2101, C2102, C2104, C2108, C2109, C2110, C2111, C2113, C2116, C2117, C2201, C2203, C2204, C2206, C2207, C2209, C2210, C2213, C2215, C2216, C2217, C2218, C2219, C2220, C2221, C2222, C2223, C2224, C2225, C2226, C2227, C2229, C2230, C2231, C2232, C2233, C2234, C2235, C2236, C2237, C2502, C2903, C3005, C3006;100n;C_0402_1005Metric;CC0402KRX7R7BB104;151
2;C2603, C2604, C2605, C2606, C2607, C2609, C2610, C2611, C2612, C2613, C2614, C2615, C2616, C2617, C2619, C2620, C2621, C2622, C2623, C2624, C2802, C2803, C2804, C2805, C2806, C2807, C2808, C2809, C2810, C2811, C2812, C2813;100n;C_0201_0603Metric;GRM033Z71C104KE14D;32
3;C301, C302, C303, C304, C305, C307, C316, C319, C320, C321, C322, C323, C501, C502, C1801, C1812, C2103, C2501;10u;C_0805_2012Metric;TMK212BBJ106MGHT;18
4;C504, C505, C507, C508, C521, C522, C523, C524, C533, C536, C537, C942, C943, C2211, C2214, C3001, C3002, C3003;22u;C_0805_2012Metric;GRM21BR61A226ME44L;18
5;C203, C204, C205, C206, C605, C616, C806, C809, C2107, C2114, C2115, C2118, C2119, C2202, C2205, C2208;1u;C_0603_1608Metric;CL10B105KA8NNNC;16
6;C308, C503, C506, C509, C528, C529, C530, C531, C534, C535, C538, C2601, C2608, C2801, C2814, C3004;4u7;C_0603_1608Metric;CL10A475KO8NNNC;16
7;C201, C202, C1402, C2002, C2003, C2105, C2106, C2112, C2504;2u2;C_0805_2012Metric;GRM21BR71E225KE11L;9
8;C313, C803, C808, C811, C1303, C2212, C2228, C2301, C2503;1n;C_0402_1005Metric;CC0402KRX7R9BB102;9
9;C326, C327, C525, C807, C902, C903, C904, C915, C940;10n;C_0402_1005Metric;CC0402KRX7R8BB103;9
10;C941, C2401, C2402, C2403, C2404, C2405, C2406, C2407;100p;C_0402_1005Metric;CC0402KRX7R9BB101;8
